epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.2084999978542328,0.5278612971305847,1.6051377058029175,0.3160000145435333,0.6425880193710327,1.5951550006866455
1,0.2919999957084656,0.6185545921325684,1.526755690574646,0.42800000309944153,0.7466620206832886,1.4080463647842407
2,0.3959999978542328,0.7445385456085205,1.3082733154296875,0.4440000057220459,0.7732580304145813,1.2762556076049805
3,0.4350000023841858,0.7729371786117554,1.2533907890319824,0.4560000002384186,0.7865779399871826,1.2334867715835571
4,0.453000009059906,0.7924383282661438,1.2057936191558838,0.47600001096725464,0.7920240163803101,1.2208459377288818
5,0.4699999988079071,0.7943627238273621,1.2089430093765259,0.5120000243186951,0.8106099963188171,1.1889103651046753
6,0.4950000047683716,0.8127192854881287,1.1711000204086304,0.5080000162124634,0.8148080110549927,1.1679750680923462
7,0.49950000643730164,0.8169928789138794,1.1552199125289917,0.5239999890327454,0.821861982345581,1.1598806381225586
8,0.5065000057220459,0.8240664601325989,1.1344789266586304,0.5400000214576721,0.8274239897727966,1.148624300956726
9,0.5289999842643738,0.8373212218284607,1.1048468351364136,0.515999972820282,0.8201119899749756,1.1571310758590698
10,0.5320000052452087,0.8329828381538391,1.118432641029358,0.5400000214576721,0.833299994468689,1.1291849613189697
11,0.5404999852180481,0.8468908071517944,1.0753403902053833,0.5479999780654907,0.8346059322357178,1.1299182176589966
12,0.5550000071525574,0.8490982055664062,1.0738656520843506,0.5559999942779541,0.8522899746894836,1.0752617120742798
13,0.5605000257492065,0.8505682945251465,1.0688010454177856,0.5960000157356262,0.864486038684845,1.0488704442977905
14,0.5914999842643738,0.8671792149543762,1.0159432888031006,0.5720000267028809,0.8671480417251587,1.0297472476959229
15,0.609000027179718,0.8747923374176025,0.9896976351737976,0.6200000047683716,0.879148006439209,0.9959110021591187
16,0.6205000281333923,0.8831826448440552,0.9557005167007446,0.6439999938011169,0.8889339566230774,0.9455605745315552
17,0.6305000185966492,0.8877031207084656,0.9411197304725647,0.6359999775886536,0.8904120326042175,0.9467306137084961
18,0.6395000219345093,0.8984137177467346,0.8976866602897644,0.6600000262260437,0.8928540349006653,0.9331755638122559
19,0.6464999914169312,0.9023813605308533,0.8804339170455933,0.6600000262260437,0.8964560031890869,0.9123221635818481
20,0.6535000205039978,0.9023847579956055,0.8776865005493164,0.6520000100135803,0.8997880220413208,0.8954215049743652
21,0.6510000228881836,0.8997575044631958,0.8883361220359802,0.6679999828338623,0.8988398909568787,0.9156962633132935
22,0.6635000109672546,0.9067031741142273,0.8612463474273682,0.671999990940094,0.9061000347137451,0.8639582395553589
23,0.6790000200271606,0.9107504487037659,0.8406727313995361,0.6759999990463257,0.9045420289039612,0.8749791383743286
24,0.6915000081062317,0.9125047922134399,0.8325704336166382,0.6759999990463257,0.9095460176467896,0.8473238945007324
25,0.6794999837875366,0.9139560461044312,0.8258029818534851,0.6919999718666077,0.908937931060791,0.8480628728866577
26,0.6850000023841858,0.9168787002563477,0.815639078617096,0.6800000071525574,0.9077699780464172,0.8519536852836609
27,0.6919999718666077,0.9175383448600769,0.8071190118789673,0.6639999747276306,0.9109280109405518,0.8408418893814087
28,0.6894999742507935,0.9179500341415405,0.8071317076683044,0.6679999828338623,0.9104560017585754,0.8430087566375732
29,0.703000009059906,0.9269495606422424,0.7629665732383728,0.6880000233650208,0.9090880155563354,0.8467327356338501
